package	required_version	number	do_install	do_load	installed	loaded	source	githubdir	required	SambaR_function	analysis_type
Biostrings	latest	65	FALSE	FALSE	FALSE	FALSE	Bioconductor	NA	optional	calcdistance()	HybridCheck
HybridCheck	latest	66	FALSE	FALSE	FALSE	FALSE	github	BenJWard/HybridCheck	optional	calcdistance()	HybridCheck
IRanges	latest	64	FALSE	FALSE	FALSE	FALSE	Bioconductor	NA	optional	calcdistance()	HybridCheck
car	latest	7	TRUE	FALSE	TRUE	FALSE	CRAN	NA	essential	all_functions	data_management
cli	latest	1	TRUE	FALSE	TRUE	FALSE	CRAN	NA	essential	all_functions	data_management
colorspace	latest	9	TRUE	FALSE	TRUE	FALSE	CRAN	NA	essential	all_functions	data_management
curl	latest	8	TRUE	FALSE	TRUE	FALSE	CRAN	NA	essential	all_functions	data_management
fs	latest	3	TRUE	FALSE	TRUE	FALSE	CRAN	NA	essential	all_functions	data_management
Rcpp	latest	2	TRUE	FALSE	TRUE	FALSE	CRAN	NA	essential	all_functions	data_management
rlang	latest	4	TRUE	FALSE	TRUE	FALSE	CRAN	NA	essential	all_functions	data_management
rworldmap	latest	44	TRUE	FALSE	TRUE	TRUE	CRAN	NA	optional	additional_analysis	geographical_maps_TESS
sf	latest	13	TRUE	FALSE	TRUE	FALSE	CRAN	NA	essential	all_functions	data_management
spdep	latest	14	TRUE	FALSE	TRUE	FALSE	CRAN	NA	essential	all_functions	data_management
usethis	latest	5	TRUE	FALSE	TRUE	FALSE	CRAN	NA	essential	all_functions	data_management
vctrs	latest	6	TRUE	FALSE	TRUE	FALSE	CRAN	NA	essential	all_functions	data_management
vegan	latest	12	TRUE	FALSE	TRUE	FALSE	CRAN	NA	essential	all_functions	data_management
karyoploteR	latest	61	FALSE	TRUE	FALSE	FALSE	Bioconductor	NA	recommended	calcdiversity();calcdistance()	karyoplots
pcadapt	latest	53	FALSE	TRUE	FALSE	FALSE	CRAN	NA	optional	selectionanalyses()	pcadapt
adegenet	latest	15	TRUE	TRUE	TRUE	TRUE	CRAN	NA	essential	all_functions	data_management
admixtools	latest	68	TRUE	TRUE	TRUE	TRUE	github	uqrmaie1/admixtools	optional	calcdistance()	admixtools_statistics
ape	latest	10	TRUE	TRUE	TRUE	TRUE	CRAN	NA	essential	all_functions	plotting
bibtex	latest	40	TRUE	TRUE	TRUE	TRUE	CRAN	NA	optional	importdata()	referencing
BiocManager	latest	55	TRUE	TRUE	TRUE	TRUE	CRAN	NA	recommended	importdata()	install_bioconductor_packages
circlize	latest	27	TRUE	TRUE	TRUE	TRUE	CRAN	NA	optional	additional_analysis	circosplots_geneflow
detectRUNS	latest	54	TRUE	TRUE	TRUE	TRUE	CRAN	NA	recommended	calcdiversity	Runs_of_homozygosity
devtools	latest	21	TRUE	TRUE	TRUE	FALSE	CRAN	NA	essential	all_functions	install_packages
factoextra	latest	34	TRUE	TRUE	TRUE	TRUE	CRAN	NA	recommended	findstructure()	CA
FactoMineR	latest	33	TRUE	TRUE	TRUE	TRUE	CRAN	NA	recommended	findstructure()	CA
fsthet	latest	38	TRUE	TRUE	TRUE	TRUE	CRAN	NA	optional	selectionanalyses()	Venn_diagrams
gdsfmt	latest	59	TRUE	TRUE	TRUE	TRUE	Bioconductor	NA	TBC	TBC	TBC
gplots	latest	23	TRUE	TRUE	TRUE	TRUE	CRAN	NA	essential	all_functions	plotting
grid	latest	28	TRUE	TRUE	TRUE	TRUE	CRAN	NA	optional	findstructure()	DAPC_plots
gridExtra	latest	30	TRUE	TRUE	TRUE	TRUE	CRAN	NA	optional	findstructure()	DAPC_plots
gridGraphics	latest	29	TRUE	TRUE	TRUE	TRUE	CRAN	NA	optional	findstructure()	DAPC_plots
gtools	latest	49	TRUE	TRUE	TRUE	TRUE	CRAN	NA	TBC	TBC	TBC
